IdMachine;Machine;Nom Appli;Nom long Appli;Type Machine;OS;Distribution;Environnement;Envt Déduit;Niveau de Service;Cpu;Ram (Go);Disque (Go);Cpu Pond.;Ram Pond. (Go);Disque Pond. (Go);Cpu+Ram/4;Heures Cpu;Code Domaine MDC;Libellé Domaine MDC;Statut
2045;QYVZL2019035;;;VM;LINUX;CentOS_6.4;Hors Prod;VIP;ELECTRUM;2.00;10.00;215.00;2.00;10.00;215.00;4.50;;;;Actif
5550;QYVZL2019036;;;VM;LINUX;CentOS_6.4;Hors Prod;VIP;ELECTRUM;2.00;4.00;175.00;2.00;4.00;175.00;3.00;;;;Actif
355;QYVZL2020015;SIRHIUS;Syst d'Information Ressources Humaines Intégré Unifié Simplifé (SIRHIUS);VM;LINUX;Redhat_6Server;Hors Prod;VIP;ELECTRUM;2.00;6.00;1025.00;2.00;6.00;1025.00;3.50;;RH;RH;Actif
374;QYVZL2020016;SIRHIUS;Syst d'Information Ressources Humaines Intégré Unifié Simplifé (SIRHIUS);VM;LINUX;Redhat_6Server;Hors Prod;VIP;ELECTRUM;2.00;4.00;745.00;2.00;4.00;745.00;3.00;;RH;RH;Actif
79;QYVZL2020018;SIRHIUS;Syst d'Information Ressources Humaines Intégré Unifié Simplifé (SIRHIUS);VM;LINUX;Redhat_6Server;Hors Prod;VIP;ELECTRUM;2.00;4.00;525.00;2.00;4.00;525.00;3.00;;RH;RH;Actif
380;QYVZL2020019;HRANALYTIC;SID-RH (HRANALYTIC);VM;LINUX;Redhat_6.4;Hors Prod;VIP;ELECTRUM;1.00;4.00;325.00;1.00;4.00;325.00;2.00;;RH;RH;Actif
86;QYVZL2020020;HRANALYTIC;SID-RH (HRANALYTIC);VM;LINUX;Redhat_6.4;Hors Prod;VIP;ELECTRUM;1.00;4.00;325.00;1.00;4.00;325.00;2.00;;RH;RH;Actif
87;QYVZL2020021;HRANALYTIC;SID-RH (HRANALYTIC);VM;LINUX;Redhat_6.4;Hors Prod;VIP;ELECTRUM;1.00;4.00;325.00;1.00;4.00;325.00;2.00;;RH;RH;Actif
114;QYVZL2022016;SBS;suivi des batchs statégiques (SBS);VM;LINUX;CentOS_6.4;Hors Prod;VIP;ELECTRUM;1.00;2.00;225.00;1.00;2.00;225.00;1.50;;STI_OUTILS_PROD;STI-Outils PROD;Actif
2260;QYVZL2049013;ASUR;Application SUivi Réclamations (ASUR);VM;LINUX;Redhat_6.4;Hors Prod;VIP;ELECTRUM;0.667;2.00;74.167;0.667;2.00;74.167;1.167;;RETRAITE;Retraite SI historique;Actif
